"","Date","Ticker","Price"
"708",20091022,"MSFT",26.59
"709",20091023,"MSFT",28.02
"710",20091026,"MSFT",28.68
"711",20091027,"MSFT",28.59
"712",20091028,"MSFT",28.02
"713",20091029,"MSFT",28.22
"714",20091030,"MSFT",27.73
"715",20091102,"MSFT",27.88
"716",20091103,"MSFT",27.53
"717",20091104,"MSFT",28.06
"718",20091105,"MSFT",28.47
"719",20091106,"MSFT",28.52
"720",20091109,"MSFT",28.99
"721",20091110,"MSFT",29.01
"722",20091111,"MSFT",29.12
"723",20091112,"MSFT",29.36
"724",20091113,"MSFT",29.63
"725",20091116,"MSFT",29.54
"726",20091117,"MSFT",30
"727",20091118,"MSFT",30.11
"728",20091119,"MSFT",29.78
"729",20091120,"MSFT",29.62
"730",20091123,"MSFT",29.94
"731",20091124,"MSFT",29.91
"732",20091125,"MSFT",29.79
"733",20091127,"MSFT",29.22
"734",20091130,"MSFT",29.41
"735",20091201,"MSFT",30.01
"736",20091202,"MSFT",29.78
"737",20091203,"MSFT",29.83
"738",20091204,"MSFT",29.98
"739",20091207,"MSFT",29.79
"740",20091208,"MSFT",29.57
"741",20091209,"MSFT",29.71
"742",20091210,"MSFT",29.87
"743",20091211,"MSFT",29.85
"744",20091214,"MSFT",30.11
"745",20091215,"MSFT",30.02
"746",20091216,"MSFT",30.1
"747",20091217,"MSFT",29.6
"748",20091218,"MSFT",30.36
"749",20091221,"MSFT",30.52
"750",20091222,"MSFT",30.82
"751",20091223,"MSFT",30.92
"752",20091224,"MSFT",31
"753",20091228,"MSFT",31.17
"754",20091229,"MSFT",31.39
"755",20091230,"MSFT",30.96
"756",20091231,"MSFT",30.48
"757",20100104,"MSFT",30.95
"758",20100105,"MSFT",30.96
"759",20100106,"MSFT",30.77
"760",20100107,"MSFT",30.452
"761",20100108,"MSFT",30.66
"762",20100111,"MSFT",30.27
"763",20100112,"MSFT",30.07
"764",20100113,"MSFT",30.35
"765",20100114,"MSFT",30.96
"766",20100115,"MSFT",30.86
"767",20100119,"MSFT",31.1
"768",20100120,"MSFT",30.585
"769",20100121,"MSFT",30.01
"770",20100122,"MSFT",28.96
"771",20100125,"MSFT",29.32
"772",20100126,"MSFT",29.5
"773",20100127,"MSFT",29.67
"774",20100128,"MSFT",29.16
"775",20100129,"MSFT",28.18
"776",20100201,"MSFT",28.41
"777",20100202,"MSFT",28.46
"778",20100203,"MSFT",28.63
"779",20100204,"MSFT",27.84
"780",20100205,"MSFT",28.02
"781",20100208,"MSFT",27.72
"782",20100209,"MSFT",28.01
"783",20100210,"MSFT",27.99
"784",20100211,"MSFT",28.12
"785",20100212,"MSFT",27.93
"786",20100216,"MSFT",28.35
"787",20100217,"MSFT",28.59
"788",20100218,"MSFT",28.969
"789",20100219,"MSFT",28.77
"790",20100222,"MSFT",28.73
"791",20100223,"MSFT",28.33
"792",20100224,"MSFT",28.63
"793",20100225,"MSFT",28.6
"794",20100226,"MSFT",28.67
"795",20100301,"MSFT",29.02
"796",20100302,"MSFT",28.46
"797",20100303,"MSFT",28.46
"798",20100304,"MSFT",28.63
"799",20100305,"MSFT",28.5875
"800",20100308,"MSFT",28.63
"801",20100309,"MSFT",28.8
"802",20100310,"MSFT",28.97
"803",20100311,"MSFT",29.18
"804",20100312,"MSFT",29.27
"805",20100315,"MSFT",29.29
"806",20100316,"MSFT",29.37
"807",20100317,"MSFT",29.63
"808",20100318,"MSFT",29.61
"809",20100319,"MSFT",29.59
"810",20100322,"MSFT",29.6
"811",20100323,"MSFT",29.88
"812",20100324,"MSFT",29.65
"813",20100325,"MSFT",30.01
"814",20100326,"MSFT",29.66
