PERMNO,date,Ticker,Price,Shares_outstanding,Stock_return,SP_Return,marketcap,beta
66157,2013-05-31,USB,35.06,1849642,0.053486,0.020763,64848448.52,0.7895267643903419
66157,2013-06-28,USB,36.15,1849642,0.03109,-0.014999,66864558.3,0.7895267643903419
66157,2013-07-31,USB,37.32,1849642,0.032365,0.049462,69028639.44,0.7895267643903419
66157,2013-08-30,USB,36.13,1839266,-0.031886,-0.031298,66452680.580000006,0.7895267643903419
66157,2013-09-30,USB,36.58,1839266,0.012455,0.029749,67280350.28,0.7895267643903419
66157,2013-10-31,USB,37.36,1832000,0.021323,0.044596,68443520.0,0.7895267643903419
66157,2013-11-29,USB,39.22,1826305,0.049786,0.028049,71627682.1,0.7895267643903419
66157,2013-12-31,USB,40.4,1826305,0.030087,0.023563,73782722.0,0.7895267643903419
66157,2014-01-31,USB,39.73,1826305,-0.016584,-0.035583,72559097.64999999,0.7895267643903419
66157,2014-02-28,USB,41.14,1822549,0.03549,0.043117,74979665.86,0.7895267643903419
66157,2014-03-31,USB,42.86,1820055,0.041808,0.006932,78007557.3,0.7895267643903419
66157,2014-04-30,USB,40.78,1821000,-0.04853,0.006201,74260380.0,0.7895267643903419
66157,2014-05-30,USB,42.19,1815150,0.034576,0.02103,76581178.5,0.7895267643903419
66157,2014-06-30,USB,43.32,1815150,0.026784,0.019058,78632298.0,0.7895267643903419
66157,2014-07-31,USB,42.03,1809000,-0.029778,-0.01508,76032270.0,0.7895267643903419
66157,2014-08-29,USB,42.28,1801927,0.005948,0.037655,76185473.56,0.7895267643903419
66157,2014-09-30,USB,41.83,1801927,-0.010643,-0.015514,75374606.41,0.7895267643903419
66157,2014-10-31,USB,42.6,1795000,0.018408,0.023201,76467e3,0.7895267643903419
66157,2014-11-28,USB,44.2,1789386,0.037559,0.024534,79090861.2,0.7895267643903419
66157,2014-12-31,USB,44.95,1789386,0.016968,-0.004189,80432900.7,0.7895267643903419
66157,2015-01-30,USB,41.91,1789386,-0.067631,-0.031041,74993167.25999999,0.7895267643903419
66157,2015-02-27,USB,44.61,1781189,0.064424,0.054893,79458841.28999999,0.7895267643903419
66157,2015-03-31,USB,43.67,1782705,-0.021072,-0.017396,77850727.35000001,0.7895267643903419
66157,2015-04-30,USB,42.87,1780000,-0.018319,0.008521,76308600.0,0.7895267643903419
66157,2015-05-29,USB,43.11,1773035,0.005598,0.010491,76435538.85,0.7895267643903419
